TaskID  GiftID  GiftType  TaskType  RequestTime  TaskArrival  TT  Responsible
193     82      1         D         84           89           5   S
194     61      3         D         84           91           7   S
195     68      3         A         69           91           22  B
196     84      1         D         87           91           4   S
197     78      2         P         79           92           13  A
198     88      1         CN        89           92           3   B
199     65      3         D         88           92           4   S
200     68      3         C         91           93           2   A
201     91      1         C         92           93           1   B
202     88      1         DN        92           93           1   S
203     78      2         C         92           94           2   A
204     59      4         D         88           94           6   S
205     93      1         C         94           95           1   A
206     70      5         A         88           95           7   B
207     76      2         D         89           96           7   S
208     94      1         C         95           96           1   A
209     70      5         C         95           96           1   B
210     87      1         D         89           96           7   S
211     68      3         D         93           97           4   S
212     71      3         A         72           98           26  B
213     91      1         D         93           98           5   S
214     83      2         P         84           99           15  A
215     71      3         C         98           99           1   B
216     78      2         D         94           100          6   S
217     83      2         C         99           100          1   A
218     93      1         D         95           101          6   S
219     99      1         C         100          101          1   A
220     73      3         A         74           101          27  B
221     94      1         D         96           102          6   S
222     100     1         C         101          102          1   A
223     73      3         C         101          102          1   B
224     70      5         D         96           103          7   S
225     101     1         C         102          103          1   A
226     71      3         D         99           103          4   S
227     80      3         A         81           104          23  B
228     83      2         D         100          104          4   S
229     103     1         C         104          105          1   B
230     99      1         D         101          105          4   S
231     86      4         P         87           106          19  A
232     80      3         C         104          106          2   B
233     100     1         D         102          106          4   S
234     104     1         C         105          107          2   A
235     105     1         C         106          107          1   B
236     73      3         D         102          107          5   S
237     106     1         C         107          108          1   A
238     101     1         D         103          108          5   S
239     107     1         C         108          109          1   A
240     85      5         A         86           109          23  B
241     103     1         D         105          109          4   S
242     80      3         D         106          110          4   S
243     92      3         A         93           111          18  B
244     104     1         D         107          111          4   S
245     90      2         P         91           112          21  A
246     109     1         C         110          112          2   B
247     105     1         D         107          112          5   S
248     92      3         C         111          113          2   A
249     111     1         C         112          113          1   B
250     106     1         D         108          113          5   S
251     90      2         C         112          114          2   A
252     107     1         D         109          114          5   S
253     113     1         C         114          115          1   A
254     95      3         A         96           115          19  B
255     109     1         D         112          115          3   S
256     95      3         C         115          116          1   B
257     92      3         D         113          116          3   S
258     111     1         D         113          117          4   S
259     98      2         P         99           118          19  A
260     97      3         A         98           118          20  B
261     90      2         D         114          118          4   S
